   0.00000         0.42995         0.00480         0.08556         0.00749
   1.00000	   2.42995	   0.02480	   0.18556	   0.02749
   2.00000	   2.23092	   0.01297	   0.18734	   0.01357
   3.00000	   2.10220	   0.01128	   0.19801	   0.01206
   4.00000	   2.01834	   0.01016	   0.18788	   0.01041
   5.00000	   1.98707	   0.01043	   0.17688	   0.01060
   6.00000	   1.95570	   0.01441	   0.16755	   0.01471
   7.00000	   1.92209	   0.00972	   0.16638	   0.00975
   8.00000	   1.90524	   0.01006	   0.15283	   0.01008
   9.00000	   1.87631	   0.01111	   0.13786	   0.01123
  10.00000	   1.85871	   0.00957	   0.14354	   0.00974
  11.00000	   1.84783	   0.01250	   0.12073	   0.01253
  12.00000	   1.80534	   0.00720	   0.11315	   0.00720
  13.00000	   1.80433	   0.00542	   0.12192	   0.00543
  14.00000	   1.79582	   0.00469	   0.12160	   0.00469
  15.00000	   1.79228	   0.00882	   0.11396	   0.00884
  16.00000	   1.76104	   0.00481	   0.10062	   0.00481
  17.00000	   1.76836	   0.01239	   0.12501	   0.01263
  18.00000	   1.74869	   0.01290	   0.12149	   0.01308
  19.00000	   1.75079	   0.00343	   0.10171	   0.00350
  20.00000	   1.71534	   0.00611	   0.09635	   0.00612
  21.00000	   1.70847	   0.00751	   0.10700	   0.00758
  22.00000	   1.68862	   0.00593	   0.09033	   0.00593
  23.00000	   1.70416	   0.01078	   0.10547	   0.01084
  24.00000	   1.68748	   0.01691	   0.12546	   0.01738
  25.00000	   1.69050	   0.00519	   0.09739	   0.00519
  26.00000	   1.67134	   0.00793	   0.12866	   0.00795
  27.00000	   1.65251	   0.02259	   0.13822	   0.03025
  28.00000	   1.66323	   0.01072	   0.09687	   0.01083
  29.00000	   1.65312	   0.01231	   0.08501	   0.01232
  30.00000	   1.66871	   0.00660	   0.11032	   0.00680
  31.00000	   1.64191	   0.00816	   0.09350	   0.00819
  32.00000	   1.62316	   0.00755	   0.10625	   0.00789
  33.00000	   1.60331	   0.02542	   0.11205	   0.03520
  34.00000	   1.63343	   0.00482	   0.09927	   0.00489
  35.00000	   1.60509	   0.00804	   0.10085	   0.00804
  36.00000	   1.60164	   0.00960	   0.10251	   0.00987
  37.00000	   1.59810	   0.01495	   0.07020	   0.01590
  38.00000	   1.60828	   0.00861	   0.08340	   0.00861
  39.00000	   1.57218	   0.00554	   0.06765	   0.00556
  40.00000	   1.58913	   0.01310	   0.05486	   0.01196
  41.00000	   1.59798	   0.01109	   0.06067	   0.01109
  42.00000	   1.57840	   0.01458	   0.07844	   0.01460
  43.00000	   1.55668	   0.00988	   0.09596	   0.00993
  44.00000	   1.54427	   0.00836	   0.09805	   0.00976
  45.00000	   1.57029	   0.01170	   0.05367	   0.00942
  46.00000	   1.58056	   0.01443	   0.11149	   0.01497
  47.00000	   1.54119	   0.00696	   0.06109	   0.00696
  48.00000	   1.54414	   0.00416	   0.03929	   0.00395
  49.00000	   1.49885	   0.01674	   0.06777	   0.01908
  50.00000	   1.52059	   0.01846	   0.09250	   0.02120
